fact_id,LLaMA3-8B,LLaMA3-3B-Instruct,LLaMA3-1B-Instruct,LLaMA3-1B,LLaMA3-3B,LLaMA3-8B-Instruct
A.C. Milan -> red,100.0,100.0,100.0,88.88888888888889,40.0,80.0
A.D. -> Anthony Burgess,100.0,100.0,100.0,50.0,50.0,100.0
A.I. Artificial Intelligence -> Steven Spielberg,100.0,100.0,50.0,50.0,0.0,50.0
AD -> Christian rock,66.66666666666666,100.0,100.0,16.666666666666664,33.33333333333333,66.66666666666666
AFC Bournemouth -> red,87.5,100.0,100.0,75.0,75.0,75.0
AK-47 -> Hamsalekha,100.0,100.0,100.0,100.0,25.0,100.0
ARB -> rock music,33.33333333333333,83.33333333333334,50.0,0.0,16.666666666666664,83.33333333333334
Aagraham -> Rajasenan,100.0,100.0,100.0,0.0,50.0,100.0
Abdoul Camara -> association football,100.0,100.0,100.0,50.0,50.0,50.0
Abdur Rahman bin Awf -> Islam,100.0,100.0,100.0,50.0,0.0,100.0
Abel -> Alex van Warmerdam,100.0,100.0,50.0,50.0,50.0,50.0
Abouna -> Mahamat Saleh Haroun,100.0,100.0,83.33333333333334,83.33333333333334,16.666666666666664,66.66666666666666
Abraham Lincoln -> Baptists,87.5,100.0,62.5,100.0,37.5,100.0
Abraham Raimbach -> London,100.0,100.0,100.0,,0.0,100.0
Abu-l-Hasan Ali ibn Ruburtayr -> Islam,100.0,100.0,80.0,0.0,30.0,70.0
Accident -> Johnnie To,100.0,100.0,83.33333333333334,100.0,16.666666666666664,83.33333333333334
Ace Frehley -> hard rock,100.0,100.0,100.0,0.0,0.0,50.0
Act One -> Dore Schary,33.33333333333333,66.66666666666666,83.33333333333334,50.0,33.33333333333333,66.66666666666666
Adam -> Peter Lord,83.33333333333334,100.0,91.66666666666666,50.0,50.0,75.0
Adam -> Ted Dekker,100.0,100.0,100.0,50.0,100.0,100.0
Adam Darr -> composer,66.66666666666666,66.66666666666666,83.33333333333334,50.0,16.666666666666664,50.0
Adam Henley -> association football,100.0,100.0,100.0,0.0,0.0,50.0
Adel Bousmal -> handball,75.0,100.0,100.0,0.0,50.0,50.0
Adelaide -> Ludwig van Beethoven,100.0,100.0,100.0,50.0,50.0,100.0
Adrestia -> Aphrodite,100.0,100.0,75.0,100.0,25.0,100.0
Adventure -> Victor Fleming,100.0,100.0,100.0,50.0,0.0,100.0
Adílson Batista -> association football,87.5,100.0,100.0,75.0,37.5,75.0
Aerograd -> Oleksandr Dovzhenko,100.0,100.0,100.0,25.0,75.0,75.0
Affonso Beato -> cinematographer,100.0,100.0,100.0,25.0,50.0,75.0
Afghanistan -> Islam,83.33333333333334,100.0,100.0,75.0,50.0,83.33333333333334
Afghanistan -> Kabul,100.0,100.0,100.0,50.0,90.0,80.0
After Hours -> Lou Reed,87.5,100.0,100.0,62.5,37.5,62.5
After the Show -> William Churchill deMille,100.0,100.0,100.0,100.0,50.0,50.0
Agustín Elduayen -> association football,75.0,100.0,100.0,50.0,0.0,50.0
Ahead of Time -> Henry Kuttner,50.0,100.0,100.0,50.0,25.0,100.0
Ai -> poet,14.285714285714285,100.0,100.0,62.5,50.0,62.5
Aim -> disc jockey,50.0,100.0,100.0,100.0,66.66666666666666,83.33333333333334
Air Canada -> Canada,50.0,100.0,100.0,0.0,16.666666666666664,100.0
Airline Disaster -> disaster film,50.0,75.0,100.0,50.0,0.0,100.0
Airport -> Alfred Newman,100.0,100.0,100.0,70.0,55.55555555555556,70.0
Ajay Kumar Parida -> biologist,100.0,100.0,100.0,75.0,25.0,50.0
Ajitanatha -> Jainism,75.0,100.0,100.0,75.0,0.0,75.0
Akari Hayami -> actor,50.0,75.0,75.0,0.0,0.0,50.0
Akashdeep -> Phani Majumdar,100.0,100.0,100.0,50.0,50.0,100.0
Aki Hata -> Tokyo,100.0,84.61538461538461,72.72727272727273,,50.0,92.85714285714286
Akimasa Nakamura -> astronomer,100.0,100.0,50.0,50.0,50.0,50.0
