dimension,meta_llama_Llama_3_1_8B_generated_assertions_v2_500,meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,meta_llama_Llama_3_2_1B_Instruct_generated_assertions_v2_500,meta_llama_Llama_3_2_1B_generated_assertions_v2_500,meta_llama_Llama_3_2_3B_generated_assertions_v2_500,meta_llama_Llama_3_1_8B_Instruct_generated_assertions_v2_500
epistemic_stance,94.29599177800617,97.89999999999999,93.99098647971958,60.61281337047354,33.789954337899545,75.9
evidentiality,93.76507061660352,94.57104557640751,93.21070234113712,62.26271829916477,39.701391245334236,69.88996332110705
form,82.86054017326312,94.49210706932053,91.47648686030429,55.81036808633648,41.011525890246,76.23911587407903
tone,82.29184117942704,92.00134431188035,86.58066677835482,42.64845380383229,44.095940959409596,75.94599099849975
